country,season,name,price,score,review_label,review_count,facility_size_m2,num_bedrooms,facility_type
Mauritania,May_Spring,Hotel Aloe Emira NKC,TND 410,8.9,Excellent,62 reviews,N/A,N/A,N/A
Mauritania,May_Spring,FASQ Hotel,TND 755,8.7,Excellent,182 reviews,N/A,N/A,N/A
Mauritania,May_Spring,Auberge Triskell & Spa,TND 105,8.9,Excellent,354 reviews,N/A,1,Other
Mauritania,May_Spring,MH HOTEL Nouakchott,TND 646,9.7,Exceptional,57 reviews,N/A,N/A,N/A
Mauritania,May_Spring,Nouakchottseahotel,TND 68,5.0,Scored 5.0,1 review,N/A,N/A,N/A
Mauritania,May_Spring,HOTEL HIBA,TND 237,8.5,Very Good,154 reviews,N/A,N/A,N/A
Mauritania,May_Spring,"""Par 4 Chemins"" - Atypical stopover",TND 117,8.9,Excellent,93 reviews,N/A,1,Room
Mauritania,May_Spring,Auberge Tunisien,TND 122,N/A,N/A,N/A,N/A,N/A,N/A
Mauritania,May_Spring,Al Khaima City Center,TND 237,6.9,Scored 6.9,196 reviews,N/A,N/A,N/A
Mauritania,May_Spring,Hotel Monotel Dar El Barka,TND 508,6.9,Scored 6.9,72 reviews,N/A,N/A,N/A
Mauritania,May_Spring,Hôtel Semiramis City Center,TND 328,7.5,Good,165 reviews,N/A,N/A,N/A
Mauritania,May_Spring,The Best Centric Hotel,TND 290,8.5,Very Good,154 reviews,N/A,N/A,N/A
Mauritania,May_Spring,Marrakech - Premium Suite,TND 335,8.7,Excellent,42 reviews,N/A,N/A,N/A
Mauritania,May_Spring,"Les HOTELS TALHAYA, NOUAKCHOTT",TND 193,7.6,Good,23 reviews,N/A,N/A,N/A
Mauritania,May_Spring,SUNSET HOTEL,TND 508,7.6,Good,32 reviews,14,1,Suite
Mauritania,May_Spring,Le Patio ARABESK,TND 180,7.8,Good,4 reviews,N/A,N/A,N/A
Mauritania,May_Spring,Comfortable and quiet furnished studio,TND 119,N/A,N/A,N/A,40,1,Apartment
Mauritania,May_Spring,Dar Al Hana,TND 152,N/A,N/A,N/A,50,1,Apartment
Mauritania,May_Spring,Luxuria NOUAKCHOTT,TND 224,8.2,Very Good,4 reviews,90,14,Apartment
Mauritania,May_Spring,Paradise maison d'hôte,TND 108,N/A,N/A,N/A,N/A,N/A,N/A
Mauritania,July_Summer,Grand Plaza Nouakchott,TND 165,7.2,Good,218 reviews,N/A,N/A,N/A
Mauritania,July_Summer,Sabah Resort Nouakchott,TND 390,8.2,Very Good,95 reviews,N/A,N/A,N/A
Mauritania,July_Summer,Transit,TND 71,9.2,Wonderful,343 reviews,N/A,N/A,N/A
Mauritania,July_Summer,Sheraton Nouakchott Hotel,TND 728,8.5,Very Good,37 reviews,N/A,N/A,N/A
Mauritania,July_Summer,Urban Hotel Nouakchott,TND 230,8.7,Excellent,269 reviews,N/A,N/A,N/A
Mauritania,July_Summer,Azalaï Hôtel Nouakchott,TND 396,8.1,Very Good,164 reviews,N/A,N/A,N/A
Mauritania,July_Summer,Urban Hotel Suites,TND 345,8.6,Excellent,122 reviews,N/A,N/A,N/A
Mauritania,July_Summer,Hotel Aloe Emira NKC,TND 532,8.9,Excellent,62 reviews,N/A,N/A,N/A
Mauritania,July_Summer,FASQ Hotel,TND 589,8.7,Excellent,182 reviews,N/A,N/A,N/A
Mauritania,July_Summer,Auberge Triskell & Spa,TND 117,8.9,Excellent,354 reviews,12,1,Room
Mauritania,July_Summer,MH HOTEL Nouakchott,TND 680,9.7,Exceptional,57 reviews,N/A,N/A,N/A
Mauritania,July_Summer,Nouakchottseahotel,TND 68,5.0,Scored 5.0,1 review,N/A,N/A,N/A
Mauritania,July_Summer,HOTEL HIBA,TND 237,8.5,Very Good,154 reviews,N/A,N/A,N/A
Mauritania,July_Summer,Auberge Tunisien,TND 122,N/A,N/A,N/A,N/A,N/A,N/A
Mauritania,July_Summer,Al Khaima City Center,TND 237,6.9,Scored 6.9,196 reviews,N/A,N/A,N/A
Mauritania,July_Summer,Hotel Monotel Dar El Barka,TND 508,6.9,Scored 6.9,72 reviews,N/A,N/A,N/A
Mauritania,July_Summer,Hôtel Semiramis City Center,TND 328,7.5,Good,165 reviews,N/A,N/A,N/A
Mauritania,July_Summer,The Best Centric Hotel,TND 261,8.5,Very Good,154 reviews,N/A,N/A,N/A
